"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"Sample15_103"	0.000941404353274	1	6864213	6462	"berserk_euclid_1"
"strain"	"Sample16_245"	0.000483336633466	1	15620583	7550	"berserk_euclid_1"
"strain"	"Sample18_262"	0.000347509344457	0.885502586327	18226848	7153	"berserk_euclid_1"
"strain"	"1139_AF"	0.164921736044	0.221418291531	6058025	4512274	"berserk_euclid_1"
"strain"	"Sample18_264"	0.00956076171753	1	750777	7178	"berserk_euclid_1"
"strain"	"1049083"	0.322208817597	0.456330078419	7054779	4981289	"berserk_euclid_1"
"strain"	"Sample18_267"	0.000394034119339	1	18226848	7182	"berserk_euclid_1"
"strain"	"Sample16_154"	0.00111414707009	1	10470790	11666	"berserk_euclid_1"
"strain"	"Sample23_142"	0.0337108046493	1	454869	15334	"berserk_euclid_1"
"strain"	"Sample22_218"	0.0044992839207	1	4319354	19434	"berserk_euclid_1"
"strain"	"Sample23_147"	0.0334250080792	1	454869	15204	"berserk_euclid_1"
"strain"	"Sample23_145"	0.00265644727522	1	5741503	15252	"berserk_euclid_1"
"strain"	"Sample19_29"	0.0292163062048	1	1548245	45234	"berserk_euclid_1"
"strain"	"Sample9_193"	0.00107167060611	1	5741503	6153	"berserk_euclid_1"
"strain"	"Sample9_192"	0.000394479514625	1	15620583	6162	"berserk_euclid_1"
"strain"	"1285_CK"	0.32288385807	0.812229804659	8706115	3460922	"berserk_euclid_1"
"strain"	"1220_BD"	0.23470570031	0.668402118042	20728785	7278798	"berserk_euclid_1"
"strain"	"1220_BB"	0.309553256359	0.864169783774	15369911	5505638	"berserk_euclid_1"
"strain"	"Sample23_283"	0.013400783455	1	750777	10061	"berserk_euclid_1"
"strain"	"1048945"	0.772896143345	0.972210483757	9084685	7222220	"berserk_euclid_1"
"strain"	"Sample6_323"	0.00269936359863	1	4885596	13188	"berserk_euclid_1"
"strain"	"1048942"	0.505205419943	0.597227303063	8498834	7189318	"berserk_euclid_1"
"strain"	"1285_CG"	1	0.997879501806	3725169	3733085	"berserk_euclid_1"
"strain"	"1285_CF"	0.582411289633	0.788898251806	5317445	3925652	"berserk_euclid_1"
"strain"	"Sample16_69"	0.0103857897778	1	2599706	27000	"berserk_euclid_1"
"strain"	"Sample18_77"	0.0225566313299	1	750777	16935	"berserk_euclid_1"
"strain"	"Sample20_90"	0.000619247053711	1	15620583	9673	"berserk_euclid_1"
"strain"	"Sample6_235"	0.00463032509477	1	3395010	15720	"berserk_euclid_1"
"strain"	"Sample19_309"	0.00143028143419	1	5062640	7241	"berserk_euclid_1"
"strain"	"1285_AC"	0.29731435893	0.747691602882	8706115	3461926	"berserk_euclid_1"
"strain"	"Sample16_65"	0.036599416338	1	750777	27478	"berserk_euclid_1"
"strain"	"Sample22_87"	0.00731428820143	1	4319354	31593	"berserk_euclid_1"
"strain"	"Sample24_66"	0.00731438063149	1	2432195	17790	"berserk_euclid_1"
"strain"	"evo_1035921.030"	0.204012552548	0.976385898967	14919680	3117417	"berserk_euclid_1"
"strain"	"1286_BV"	1	0.979069125637	4271379	4362694	"berserk_euclid_1"
"strain"	"1286_BU"	0.319499686336	0.719295007278	6610573	2936314	"berserk_euclid_1"
"strain"	"Sample9_66"	0.00187628434785	1	6632257	12444	"berserk_euclid_1"
"strain"	"1286_AF"	1	0.998350426077	4771532	4779416	"berserk_euclid_1"
"strain"	"1049011"	0.660542337107	0.839115616011	4885596	3845886	"berserk_euclid_1"
"strain"	"Sample22_17"	0.0422013311847	1	1548245	65338	"berserk_euclid_1"
"strain"	"1139_BF"	0.532417793017	0.849789840746	10096770	6325917	"berserk_euclid_1"
"strain"	"1052959"	0.48368875196	0.702205823833	3648280	2512984	"berserk_euclid_1"
"strain"	"1052974"	0.333557542043	0.905169738414	9889595	3644343	"berserk_euclid_1"
"strain"	"1052977"	0.364002165913	0.999685084677	9889595	3600968	"berserk_euclid_1"
"strain"	"Sample23_175"	0.00361141016229	1	3801839	13730	"berserk_euclid_1"
"strain"	"1035969"	0.944678088683	0.995503827194	3801839	3607735	"berserk_euclid_1"
"strain"	"1286_BD"	0.311517776144	0.680047275797	6610573	3028188	"berserk_euclid_1"
"strain"	"Sample6_680"	0.0387733748556	1	201659	7819	"berserk_euclid_1"
"strain"	"1035939"	0.351848614227	0.99869376143	4541510	1600014	"berserk_euclid_1"
"strain"	"evo_1286_G.034"	0.334599364741	0.939611083546	9123523	3248924	"berserk_euclid_1"
"strain"	"1220_AO"	0.259686569571	0.347035792105	9889595	7400375	"berserk_euclid_1"
"strain"	"1285_BF"	0.192453922232	0.640361229054	13863573	4166553	"berserk_euclid_1"
"strain"	"1035906"	0.988397090576	0.989473073279	2552808	2550032	"berserk_euclid_1"
"strain"	"1030881"	1	0.815127579993	2691429	3301850	"berserk_euclid_1"
"strain"	"1053004"	0.507072989586	0.977679028783	5062640	2625737	"berserk_euclid_1"
"strain"	"1036566"	0.996261244378	0.937525351392	2774720	2948556	"berserk_euclid_1"
"strain"	"1030806"	1	0.969301347255	3958491	4083860	"berserk_euclid_1"
"strain"	"1030800"	0	0	0	424499	"berserk_euclid_1"
"strain"	"evo_1030728.038"	0.174580428029	0.74403619575	10470790	2456863	"berserk_euclid_1"
"strain"	"1285_BO"	0.379801783	0.925874808859	8706115	3571323	"berserk_euclid_1"
"strain"	"1285_AK"	0.738164743855	0.904921562213	5703193	4652222	"berserk_euclid_1"
"strain"	"evo_1030728.035"	0.174495716178	0.743792024106	10470790	2456477	"berserk_euclid_1"
"strain"	"1220_AR"	0.510231298304	0.932756697298	8210004	4490990	"berserk_euclid_1"
"strain"	"Sample15_91"	0.307777553899	0.898793762871	19852	6798	"berserk_euclid_1"
"strain"	"evo_1139_Y.018"	0.232965318517	0.662249101784	20728785	7291951	"berserk_euclid_1"
"strain"	"1048885"	0.941322113491	0.996890958233	12996736	12272270	"berserk_euclid_1"
"strain"	"1036011"	0.0486226536356	0.00296905765574	45123	738955	"berserk_euclid_1"
"strain"	"Sample24_88"	0.00466537653792	1	3395010	15839	"berserk_euclid_1"
"strain"	"1030716"	0.0743572588899	0.340128548623	8498834	1857974	"berserk_euclid_1"
