instance	class	precision	recall	predicted class size	real class size
species	Fibrobacter intestinalis	1.00	0.96	3159842	3277440
species	Papillibacter cinnamivorans	0.91	1.00	3159094	2888356
species	Clostridium proteolyticum	0.80	0.90	3151664	2814524
species	Comamonas nitrativorans	0.99	0.90	3048211	3356089
species	Lysobacter spongiicola	0.98	0.95	3024752	3098414
species	Arenimonas donghaensis	1.00	0.99	2968553	2978743
species	Megasphaera paucivorans	0.94	0.95	2951541	2911302
species	Pseudoxanthomonas taiwanensis	0.99	0.95	2923035	3035679
species	Chryseobacterium bovis	0.99	0.85	2877744	3337045
species	Desulfotomaculum putei	0.95	0.87	2861714	3113723
species	Desulfovibrio litoralis	0.96	0.99	2844563	2736174
species	Gemmiger formicilis	0.99	0.86	2827915	3238784
